Matchday#        Word     TF-IDF
1      公式       0.053
1      ACL       0.038
1      すでに       0.038
1      長い       0.038
1      ゼロックススーパーカップ       0.038
2      スタイル       0.018
2      もっと       0.014
2      かかる       0.013
2      まだまだ       0.011
2      結びつき       0.01
3      リスク       0.019
3      鳥栖       0.016
3      毎週       0.016
3      高く       0.016
3      スタイル       0.015
4      彼       0.014
4      こだわっ       0.009
4      ボランチ       0.009
4      貢献       0.009
4      ポジション       0.009
5      目       0.03
5      大津       0.026
5      交代       0.019
5      ブマル       0.016
5      時       0.014
6      川崎       0.017
6      ハーフタイム       0.014
6      任せる       0.011
6      運       0.011
6      過程       0.009
7      オープン       0.032
7      帯       0.017
7      敗れ       0.016
7      そうなると       0.016
7      どり       0.016
8      解決       0.024
8      策       0.019
8      くる       0.016
8      つくっ       0.011
8      展開       0.011
9      ケガ       0.022
9      ミス       0.022
9      を通して       0.015
9      走れ       0.014
9      疲労       0.014
10      全く       0.019
10      とか       0.018
10      方       0.017
10      にとって       0.014
10      つもり       0.013
11      多かっ       0.017
11      ポジショニング       0.016
11      左       0.014
11      トップ       0.014
11      下       0.014
12      メンタル       0.024
12      ジュビロ       0.024
12      いか       0.018
12      受け入れ       0.016
12      気持ち       0.013
13      しかし       0.035
13      回       0.035
13      その後       0.029
13      かけ       0.029
13      45       0.025
14      見る       0.016
14      90       0.012
14      だけ       0.011
14      分間       0.011
14      フィニッシュ       0.01
15      ワールドカップ       0.014
15      期間       0.014
15      時       0.013
15      理解       0.012
15      差       0.012
16      結びつい       0.05
16      ８       0.04
16      中断       0.04
16      期間       0.04
16      準備       0.02
17      道       0.018
17      時       0.016
17      FC       0.015
17      東京       0.015
17      F       0.012
18      なぜ       0.018
18      ほめ       0.015
18      －       0.015
18      納得       0.015
18      やはり       0.013
19      修正       0.017
19      期待       0.016
19      戦い       0.012
19      15       0.012
19      いき       0.01
20      道       0.021
20      フロンターレ       0.018
20      成功       0.018
20      最終       0.014
20      無得点       0.014
21      感       0.036
21      距離       0.03
21      湘南       0.018
21      帯       0.016
21      指示       0.014
22      フォーメーション       0.036
22      継続       0.023
22      可能       0.023
22      性       0.023
22      関係       0.023
23      中澤       0.032
23      思う       0.026
23      外し       0.026
23      伝え       0.022
23      出し切っ       0.022
24      彼       0.03
24      若い       0.025
24      いける       0.02
24      自身       0.02
24      力       0.014
25      山中       0.023
25      Ｆ       0.019
25      表現       0.017
25      バック       0.016
25      喜田       0.009
26      メンタリティー       0.02
26      回       0.017
26      本当に       0.013
26      勝つ       0.012
26      リスク       0.012
27      ホーム       0.042
27      行い       0.042
27      タフ       0.042
27      攻め込ま       0.042
27      奪え       0.042
28      仙台       0.02
28      けれど       0.014
28      とき       0.012
28      いつも       0.012
28      数       0.011
29      理解       0.012
29      順位       0.012
29      押し込ん       0.011
29      キックオフ       0.011
29      スペース       0.011
30      Ｇ       0.08
30      大阪       0.064
30      しまい       0.039
30      ミス       0.032
30      つながっ       0.028
31      求める       0.02
31      発揮       0.02
31      ピッチ       0.016
31      問題       0.015
31      アン       0.014
32      3       0.04
32      悪く       0.04
32      疲れ       0.025
32      粘り強く       0.025
32      はじめ       0.025
33      意欲       0.038
33      ファウル       0.038
33      思わ       0.03
33      イーブン       0.03
33      来       0.03
34      対策       0.014
34      シーズン       0.011
34      F       0.011
34      毎       0.011
34      うまく       0.011
