Matchday#        Word     TF-IDF
1      パス       0.131
1      自信       0.131
1      へ       0.105
1      繋い       0.105
1      セカンド       0.105
2      良かっ       0.107
2      前半       0.107
2      怠ら       0.107
2      準備       0.107
2      常に       0.086
3      我々       0.202
3      戦う       0.147
3      やっ       0.147
3      だ       0.147
3      信じ       0.147
4      保つ       0.104
4      １       0.104
4      迄       0.104
4      90       0.104
4      分       0.1
5      取り       0.16
5      追加       0.16
5      点       0.129
5      落ち着い       0.129
5      大切       0.087
6      かけよ       0.136
6      アグレッシブ       0.136
6      プレシャー       0.136
6      もっと       0.111
6      ゲーム       0.093
7      特に       0.122
7      ケア       0.084
7      最初       0.074
7      する       0.066
7      カウンター       0.066
8      逆       0.141
8      前       0.141
8      向こ       0.141
8      どんどん       0.141
8      サイド       0.113
9      与え       0.101
9      として       0.101
9      連動       0.081
9      チーム       0.081
9      我々       0.069
10      分間       0.16
10      まで       0.16
10      最後       0.129
10      マリノス       0.097
10      最初       0.097
11      メンタリティ       0.131
11      入ろう       0.131
11      突破       0.131
11      ―       0.131
11      キープ       0.131
12      において       0.122
12      恐れる       0.122
12      なに       0.122
12      切ろ       0.122
12      全て       0.098
13      と       0.11
13      切り替わっ       0.11
13      スピーディー       0.11
13      時       0.089
13      やり       0.076
14      つかも       0.136
14      勝利       0.136
14      使う       0.093
14      有効       0.082
14      幅       0.074
15      全体       0.16
15      ボール       0.144
15      もっと       0.132
15      マイ       0.129
15      セカンド       0.129
16      マリノス       0.165
16      し       0.147
16      集中       0.122
16      続けよ       0.102
16      も       0.068
17      必要       0.22
17      慌てる       0.22
17      達       0.12
17      ない       0.108
17      続けよ       0.083
18      狙っ       0.147
18      出し切ろ       0.147
18      全て       0.118
18      残り       0.101
18      背後       0.101
19      逆転       0.141
19      ワーク       0.141
19      なるべく       0.141
19      止める       0.141
19      ハード       0.141
20      大事       0.147
20      チャンス       0.147
20      持と       0.147
20      決める       0.147
20      イメージ       0.147
21      信念       0.126
21      上げ       0.087
21      戦お       0.087
21      ケア       0.087
21      テンポ       0.068
22      両       0.09
22      気持ち       0.09
22      サイド       0.073
22      強い       0.073
22      戦お       0.062
23      良く       0.122
23      デュエル       0.122
23      きろ       0.122
23      距離       0.122
23      感       0.122
24      中       0.141
24      我々       0.097
24      も       0.071
24      使っ       0.069
24      コンパクト       0.063
25      かける       0.101
25      プレッシャー       0.101
25      幅       0.068
25      使っ       0.062
25      たち       0.047
26      リング       0.098
26      いい       0.098
26      カバー       0.098
26      幅       0.053
26      し       0.053
27      ホルダー       0.114
27      つい       0.114
27      かける       0.091
27      プレッシャー       0.091
27      背後       0.078
28      性       0.088
28      高め       0.088
28      ながら       0.088
28      プレス       0.088
28      動き       0.071
29      失っ       0.098
29      切り替え       0.098
29      全員       0.098
29      闘お       0.098
29      時       0.079
30      動かし       0.228
30      良い       0.114
30      いる       0.114
30      ので       0.114
30      出来       0.114
31      気       0.107
31      ず       0.107
31      焦ら       0.107
31      つける       0.107
31      幅       0.058
32      切らさ       0.186
32      よう       0.186
32      まま       0.186
32      絶対       0.186
32      この       0.186
33      が       0.126
33      強く       0.078
33      さらに       0.078
33      ロング       0.078
33      なる       0.078
34      動く       0.153
34      作り出そ       0.153
34      で       0.137
34      が       0.123
34      たち       0.116
