Matchday#, Team_Against, Home_Away, Word, TF-IDF
01, ガンバ大阪, Away, Win, 集中, 0.104
01, ガンバ大阪, Away, Win, れ, 0.077
01, ガンバ大阪, Away, Win, 切り替える, 0.077
01, ガンバ大阪, Away, Win, 奪わ, 0.077
01, ガンバ大阪, Away, Win, 時, 0.077
02, ベガルタ仙台, Home, Win, 焦ら, 0.104
02, ベガルタ仙台, Home, Win, 最初, 0.082
02, ベガルタ仙台, Home, Win, 落ち着い, 0.07
02, ベガルタ仙台, Home, Win, リズム, 0.07
02, ベガルタ仙台, Home, Win, 集中, 0.07
03, 川崎フロンターレ, Home, Draw, 続ける, 0.088
03, 川崎フロンターレ, Home, Draw, 止め, 0.088
03, 川崎フロンターレ, Home, Draw, 足, 0.088
03, 川崎フロンターレ, Home, Draw, ！, 0.088
03, 川崎フロンターレ, Home, Draw, 最後, 0.088
04, 大分トリニータ, Away, Lose, もっと, 0.093
04, 大分トリニータ, Away, Lose, 幅, 0.079
04, 大分トリニータ, Away, Lose, やろ, 0.079
04, 大分トリニータ, Away, Lose, ケア, 0.079
04, 大分トリニータ, Away, Lose, 背後, 0.079
05, サガン鳥栖, Home, Draw, 注意, 0.098
05, サガン鳥栖, Home, Draw, 切り替わっ, 0.098
05, サガン鳥栖, Home, Draw, やり, 0.078
05, サガン鳥栖, Home, Draw, 切ろ, 0.078
05, サガン鳥栖, Home, Draw, タイミング, 0.078
06, 浦和レッズ, Away, Win, 行け, 0.133
06, 浦和レッズ, Away, Win, 慌て, 0.106
06, 浦和レッズ, Away, Win, 感, 0.106
06, 浦和レッズ, Away, Win, 良い, 0.106
06, 浦和レッズ, Away, Win, 距離, 0.106
07, 名古屋グランパス, Home, Draw, 判断, 0.139
07, 名古屋グランパス, Home, Draw, 運ん, 0.139
07, 名古屋グランパス, Home, Draw, 切り替え, 0.139
07, 名古屋グランパス, Home, Draw, へ, 0.139
07, 名古屋グランパス, Home, Draw, 状況, 0.139
08, 北海道コンサドーレ札幌, Away, Lose, あげる, 0.139
08, 北海道コンサドーレ札幌, Away, Lose, あれ, 0.139
08, 北海道コンサドーレ札幌, Away, Lose, ば, 0.139
08, 北海道コンサドーレ札幌, Away, Lose, 入っ, 0.11
08, 北海道コンサドーレ札幌, Away, Lose, 動かす, 0.093
09, 鹿島アントラーズ, Home, Win, いく, 0.118
09, 鹿島アントラーズ, Home, Win, 繋い, 0.088
09, 鹿島アントラーズ, Home, Win, パス, 0.088
09, 鹿島アントラーズ, Home, Win, 増やそ, 0.088
09, 鹿島アントラーズ, Home, Win, 短い, 0.088
10, サンフレッチェ広島, Away, Win, リスタート, 0.104
10, サンフレッチェ広島, Away, Win, き, 0.104
10, サンフレッチェ広島, Away, Win, 早く, 0.104
10, サンフレッチェ広島, Away, Win, あわて, 0.082
10, サンフレッチェ広島, Away, Win, すばやく, 0.07
11, セレッソ大阪, Away, Lose, きろ, 0.123
11, セレッソ大阪, Away, Lose, 全て, 0.123
11, セレッソ大阪, Away, Lose, 取り戻そ, 0.123
11, セレッソ大阪, Away, Lose, 45, 0.098
11, セレッソ大阪, Away, Lose, 出し, 0.098
12, ヴィッセル神戸, Home, Win, コンパクト, 0.083
12, ヴィッセル神戸, Home, Win, まわし, 0.083
12, ヴィッセル神戸, Home, Win, 戦お, 0.083
12, ヴィッセル神戸, Home, Win, 走り, 0.083
12, ヴィッセル神戸, Home, Win, 陣形, 0.083
13, ジュビロ磐田, Home, Win, セット, 0.081
13, ジュビロ磐田, Home, Win, 先, 0.081
13, ジュビロ磐田, Home, Win, 競り合い, 0.081
13, ジュビロ磐田, Home, Win, 与え, 0.081
13, ジュビロ磐田, Home, Win, マイボール, 0.081
14, 湘南ベルマーレ, Away, Win, 動かそ, 0.128
14, 湘南ベルマーレ, Away, Win, 回し, 0.128
14, 湘南ベルマーレ, Away, Win, 回収, 0.128
14, 湘南ベルマーレ, Away, Win, マイ, 0.102
14, 湘南ベルマーレ, Away, Win, しっかり, 0.075
15, 清水エスパルス, Away, Lose, お互い, 0.123
15, 清水エスパルス, Away, Lose, 大事, 0.098
15, 清水エスパルス, Away, Lose, 距離, 0.098
15, 清水エスパルス, Away, Lose, 感, 0.098
15, 清水エスパルス, Away, Lose, シンプル, 0.098
16, 松本山雅FC, Home, Win, マリノス, 0.115
16, 松本山雅FC, Home, Win, はっきり, 0.115
16, 松本山雅FC, Home, Win, 一人ひとり, 0.115
16, 松本山雅FC, Home, Win, 掛け合っ, 0.115
16, 松本山雅FC, Home, Win, 声, 0.115
17, FC東京, Away, Lose, 疲れ, 0.115
17, FC東京, Away, Lose, 止まら, 0.115
17, FC東京, Away, Lose, くる, 0.115
17, FC東京, Away, Lose, 陣地, 0.067
17, FC東京, Away, Lose, ない, 0.059
18, 大分トリニータ, Home, Win, から, 0.147
18, 大分トリニータ, Home, Win, 見せ, 0.093
18, 大分トリニータ, Home, Win, ゴール, 0.093
18, 大分トリニータ, Home, Win, 奪い, 0.093
18, 大分トリニータ, Home, Win, 奪お, 0.093
19, 浦和レッズ, Home, Win, 左右, 0.064
19, 浦和レッズ, Home, Win, 来る, 0.064
19, 浦和レッズ, Home, Win, ので, 0.064
19, 浦和レッズ, Home, Win, 切らさ, 0.064
19, 浦和レッズ, Home, Win, 立ち上がり, 0.064
20, ヴィッセル神戸, Away, Win, せよ, 0.083
20, ヴィッセル神戸, Away, Win, 自信, 0.083
20, ヴィッセル神戸, Away, Win, プレッシャー, 0.083
20, ヴィッセル神戸, Away, Win, 蹴ら, 0.083
20, ヴィッセル神戸, Away, Win, ツータッチ, 0.066
21, 清水エスパルス, Home, Lose, も, 0.101
21, 清水エスパルス, Home, Lose, 上げ, 0.098
21, 清水エスパルス, Home, Lose, 狙う, 0.098
21, 清水エスパルス, Home, Lose, 入れ, 0.098
21, 清水エスパルス, Home, Lose, 続けよ, 0.066
22, 鹿島アントラーズ, Away, Lose, なく, 0.067
22, 鹿島アントラーズ, Away, Lose, かける, 0.067
22, 鹿島アントラーズ, Away, Lose, 一, 0.067
22, 鹿島アントラーズ, Away, Lose, 出し切ろ, 0.067
22, 鹿島アントラーズ, Away, Lose, ペース, 0.067
23, セレッソ大阪, Home, Lose, シュート, 0.057
23, セレッソ大阪, Home, Lose, フリー, 0.057
23, セレッソ大阪, Home, Lose, 増やし, 0.057
23, セレッソ大阪, Home, Lose, 見せつけよ, 0.057
23, セレッソ大阪, Home, Lose, 選択肢, 0.057
24, 名古屋グランパス, Away, Win, やら, 0.111
24, 名古屋グランパス, Away, Win, せ, 0.111
24, 名古屋グランパス, Away, Win, よう, 0.111
24, 名古屋グランパス, Away, Win, 出そ, 0.111
24, 名古屋グランパス, Away, Win, 簡単, 0.088
25, ガンバ大阪, Home, Win, 度, 0.155
25, ガンバ大阪, Home, Win, 精度, 0.077
25, ガンバ大阪, Home, Win, 高めよ, 0.077
25, ガンバ大阪, Home, Win, 3, 0.077
25, ガンバ大阪, Home, Win, 2, 0.077
26, サンフレッチェ広島, Home, Win, やる, 0.171
26, サンフレッチェ広島, Home, Win, 狙える, 0.085
26, サンフレッチェ広島, Home, Win, ある, 0.085
26, サンフレッチェ広島, Home, Win, 行こ, 0.085
26, サンフレッチェ広島, Home, Win, べき, 0.085
