Matchday#, Team_Against, Home_Away, Match_Result, Word, TF-IDF
01, ガンバ大阪, Home, Lose, 責任, 0.03
01, ガンバ大阪, Home, Lose, スタート, 0.029
01, ガンバ大阪, Home, Lose, つくれ, 0.025
01, ガンバ大阪, Home, Lose, しまう, 0.024
01, ガンバ大阪, Home, Lose, 難しく, 0.022
01, ガンバ大阪, Home, Lose, なら, 0.018
01, ガンバ大阪, Home, Lose, 行っ, 0.015
01, ガンバ大阪, Home, Lose, なり, 0.014
01, ガンバ大阪, Home, Lose, 状況, 0.014
01, ガンバ大阪, Home, Lose, いけ, 0.014
02, 浦和レッズ, Away, Draw, 公式, 0.055
02, 浦和レッズ, Away, Draw, リズム, 0.044
02, 浦和レッズ, Away, Draw, テンポ, 0.044
02, 浦和レッズ, Away, Draw, 出る, 0.037
02, 浦和レッズ, Away, Draw, 練習, 0.034
02, 浦和レッズ, Away, Draw, 上げ, 0.025
02, 浦和レッズ, Away, Draw, いこ, 0.022
02, 浦和レッズ, Away, Draw, 今後, 0.019
02, 浦和レッズ, Away, Draw, 離れ, 0.019
02, 浦和レッズ, Away, Draw, スピード, 0.019
03, 湘南ベルマーレ, Home, Win, リーダーシップ, 0.034
03, 湘南ベルマーレ, Home, Win, しよ, 0.027
03, 湘南ベルマーレ, Home, Win, くれる, 0.027
03, 湘南ベルマーレ, Home, Win, キャプテン, 0.023
03, 湘南ベルマーレ, Home, Win, 声, 0.023
03, 湘南ベルマーレ, Home, Win, 力強, 0.023
03, 湘南ベルマーレ, Home, Win, 自粛, 0.023
03, 湘南ベルマーレ, Home, Win, 難しく, 0.018
03, 湘南ベルマーレ, Home, Win, コンビネーション, 0.018
03, 湘南ベルマーレ, Home, Win, シーズン, 0.018
04, FC東京, Home, Lose, 見れ, 0.028
04, FC東京, Home, Lose, 全体, 0.025
04, FC東京, Home, Lose, 布陣, 0.024
04, FC東京, Home, Lose, 皆, 0.024
04, FC東京, Home, Lose, ベスト, 0.018
04, FC東京, Home, Lose, 強く, 0.018
04, FC東京, Home, Lose, 思っ, 0.018
04, FC東京, Home, Lose, 敗, 0.018
04, FC東京, Home, Lose, ベンチ, 0.018
04, FC東京, Home, Lose, 焼い, 0.018
05, 鹿島アントラーズ, Away, Lose, ミス, 0.104
05, 鹿島アントラーズ, Away, Lose, 失点, 0.069
05, 鹿島アントラーズ, Away, Lose, 奪わ, 0.053
05, 鹿島アントラーズ, Away, Lose, なくさ, 0.053
05, 鹿島アントラーズ, Away, Lose, フィジカル, 0.053
05, 鹿島アントラーズ, Away, Lose, しまう, 0.052
05, 鹿島アントラーズ, Away, Lose, いけ, 0.051
05, 鹿島アントラーズ, Away, Lose, 多い, 0.047
05, 鹿島アントラーズ, Away, Lose, しまい, 0.043
05, 鹿島アントラーズ, Away, Lose, 縦, 0.034
06, 横浜FC, Home, Win, 仙頭, 0.038
06, 横浜FC, Home, Win, －, 0.028
06, 横浜FC, Home, Win, 横浜, 0.024
06, 横浜FC, Home, Win, アジャスト, 0.024
06, 横浜FC, Home, Win, 皆さん, 0.021
06, 横浜FC, Home, Win, システム, 0.021
06, 横浜FC, Home, Win, ＦＣ, 0.019
06, 横浜FC, Home, Win, 挑戦, 0.016
