Matchday#, Team_Against, Home_Away, Match_Result, Word, TF-IDF
01, ガンバ大阪, Home, Lose, コンパクト, 0.189
01, ガンバ大阪, Home, Lose, する, 0.189
01, ガンバ大阪, Home, Lose, 全員, 0.189
01, ガンバ大阪, Home, Lose, 助け合い, 0.189
01, ガンバ大阪, Home, Lose, 戦お, 0.189
01, ガンバ大阪, Home, Lose, 繋い, 0.116
01, ガンバ大阪, Home, Lose, しよ, 0.116
01, ガンバ大阪, Home, Lose, プレッシャー, 0.116
01, ガンバ大阪, Home, Lose, 慌て, 0.116
01, ガンバ大阪, Home, Lose, プレー, 0.116
02, 浦和レッズ, Away, Draw, タッチ, 0.333
02, 浦和レッズ, Away, Draw, ２, 0.167
02, 浦和レッズ, Away, Draw, すばやく, 0.167
02, 浦和レッズ, Away, Draw, リスタート, 0.167
02, 浦和レッズ, Away, Draw, 突い, 0.167
02, 浦和レッズ, Away, Draw, 与え, 0.167
02, 浦和レッズ, Away, Draw, 生まれる, 0.167
02, 浦和レッズ, Away, Draw, １, 0.126
02, 浦和レッズ, Away, Draw, 動かそ, 0.126
02, 浦和レッズ, Away, Draw, スペース, 0.126
03, 湘南ベルマーレ, Home, Win, 瞬間, 0.202
03, 湘南ベルマーレ, Home, Win, 選手, 0.202
03, 湘南ベルマーレ, Home, Win, みよ, 0.202
03, 湘南ベルマーレ, Home, Win, 前線, 0.202
03, 湘南ベルマーレ, Home, Win, 回し, 0.202
03, 湘南ベルマーレ, Home, Win, つくれ, 0.153
03, 湘南ベルマーレ, Home, Win, 奪っ, 0.153
03, 湘南ベルマーレ, Home, Win, 慌て, 0.124
03, 湘南ベルマーレ, Home, Win, チャンス, 0.103
03, 湘南ベルマーレ, Home, Win, 良い, 0.103
04, FC東京, Home, Lose, 内容, 0.189
04, FC東京, Home, Lose, 最後, 0.189
04, FC東京, Home, Lose, 続けよ, 0.189
04, FC東京, Home, Lose, 切らす, 0.189
04, FC東京, Home, Lose, つくれ, 0.143
04, FC東京, Home, Lose, 集中, 0.116
04, FC東京, Home, Lose, プレッシャー, 0.116
04, FC東京, Home, Lose, 動かし, 0.116
04, FC東京, Home, Lose, サッカー, 0.096
04, FC東京, Home, Lose, チャンス, 0.096
05, 鹿島アントラーズ, Away, Lose, リズム, 0.236
05, 鹿島アントラーズ, Away, Lose, でき, 0.236
05, 鹿島アントラーズ, Away, Lose, 動かそ, 0.178
05, 鹿島アントラーズ, Away, Lose, いい, 0.178
05, 鹿島アントラーズ, Away, Lose, つくっ, 0.178
05, 鹿島アントラーズ, Away, Lose, 切り替え, 0.145
05, 鹿島アントラーズ, Away, Lose, サッカー, 0.121
05, 鹿島アントラーズ, Away, Lose, チャンス, 0.121
05, 鹿島アントラーズ, Away, Lose, プレス, 0.121
05, 鹿島アントラーズ, Away, Lose, いる, 0.102
06, 横浜FC, Home, Win, 素早く, 0.315
06, 横浜FC, Home, Win, 回そ, 0.315
06, 横浜FC, Home, Win, せ, 0.238
06, 横浜FC, Home, Win, やら, 0.238
06, 横浜FC, Home, Win, アグレッシブ, 0.193
06, 横浜FC, Home, Win, 簡単, 0.161
06, 横浜FC, Home, Win, 落ち着い, 0.136
06, 横浜FC, Home, Win, 相手, 0.116
06, 横浜FC, Home, Win, ボール, 0.059
07, 北海道コンサドーレ札幌, Away, Lose, しよ, 0.315
07, 北海道コンサドーレ札幌, Away, Lose, チャンス, 0.263
07, 北海道コンサドーレ札幌, Away, Lose, 持っ, 0.258
07, 北海道コンサドーレ札幌, Away, Lose, 作れ, 0.258
07, 北海道コンサドーレ札幌, Away, Lose, ゴール, 0.258
07, 北海道コンサドーレ札幌, Away, Lose, 責任, 0.258
07, 北海道コンサドーレ札幌, Away, Lose, 強く, 0.195
07, 北海道コンサドーレ札幌, Away, Lose, プレー, 0.158
07, 北海道コンサドーレ札幌, Away, Lose, いる, 0.111
08, ベガルタ仙台, Away, Win, 掛け合っ, 0.189
08, ベガルタ仙台, Away, Win, 飛び込ん, 0.189
08, ベガルタ仙台, Away, Win, ペナルティーエリア, 0.189
08, ベガルタ仙台, Away, Win, ハード, 0.189
08, ベガルタ仙台, Away, Win, 声, 0.189
08, ベガルタ仙台, Away, Win, ワーク, 0.189
08, ベガルタ仙台, Away, Win, 後半, 0.143
08, ベガルタ仙台, Away, Win, いく, 0.143
08, ベガルタ仙台, Away, Win, 失点, 0.143
08, ベガルタ仙台, Away, Win, 抑えよ, 0.143
09, 柏レイソル, Home, Draw, 本, 0.177
09, 柏レイソル, Home, Draw, 守備, 0.177
09, 柏レイソル, Home, Draw, 帯, 0.177
09, 柏レイソル, Home, Draw, 大切, 0.177
09, 柏レイソル, Home, Draw, １, 0.134
09, 柏レイソル, Home, Draw, 切らさ, 0.134
09, 柏レイソル, Home, Draw, 奪っ, 0.134
09, 柏レイソル, Home, Draw, 失わ, 0.134
09, 柏レイソル, Home, Draw, 動かし, 0.108
09, 柏レイソル, Home, Draw, 動い, 0.108
10, 大分トリニータ, Away, Lose, 勝つ, 0.354
10, 大分トリニータ, Away, Lose, 意識, 0.354
10, 大分トリニータ, Away, Lose, もっ, 0.354
10, 大分トリニータ, Away, Lose, 強く, 0.268
10, 大分トリニータ, Away, Lose, アグレッシブ, 0.217
10, 大分トリニータ, Away, Lose, しよ, 0.217
10, 大分トリニータ, Away, Lose, プレー, 0.217
10, 大分トリニータ, Away, Lose, いこ, 0.044
11, 清水エスパルス, Away, Win, 攻守, 0.218
11, 清水エスパルス, Away, Win, 注意, 0.218
11, 清水エスパルス, Away, Win, やり, 0.218
11, 清水エスパルス, Away, Win, し, 0.165
11, 清水エスパルス, Away, Win, 続ける, 0.165
11, 清水エスパルス, Away, Win, 球, 0.165
11, 清水エスパルス, Away, Win, アグレッシブ, 0.133
11, 清水エスパルス, Away, Win, 切り替え, 0.133
11, 清水エスパルス, Away, Win, 出し, 0.133
11, 清水エスパルス, Away, Win, サッカー, 0.111
12, サンフレッチェ広島, Home, Win, ロング, 0.202
12, サンフレッチェ広島, Home, Win, 得点, 0.202
12, サンフレッチェ広島, Home, Win, 拾お, 0.202
12, サンフレッチェ広島, Home, Win, セカンド, 0.202
12, サンフレッチェ広島, Home, Win, 奪い, 0.202
12, サンフレッチェ広島, Home, Win, 失点, 0.153
12, サンフレッチェ広島, Home, Win, 抑えよ, 0.153
12, サンフレッチェ広島, Home, Win, 繋い, 0.124
12, サンフレッチェ広島, Home, Win, 落ち着い, 0.087
12, サンフレッチェ広島, Home, Win, パス, 0.087
13, 北海道コンサドーレ札幌, Home, Win, られ, 0.202
13, 北海道コンサドーレ札幌, Home, Win, 後半, 0.153
13, 北海道コンサドーレ札幌, Home, Win, いい, 0.153
13, 北海道コンサドーレ札幌, Home, Win, つくっ, 0.153
13, 北海道コンサドーレ札幌, Home, Win, 出し切ろ, 0.153
13, 北海道コンサドーレ札幌, Home, Win, 続け, 0.153
13, 北海道コンサドーレ札幌, Home, Win, 動い, 0.124
13, 北海道コンサドーレ札幌, Home, Win, かけ, 0.103
