Matchday#        Word     TF-IDF
1      加入       0.015
1      新       0.01
1      ガンバ       0.01
1      １       0.009
1      すごく       0.007
2      歳       0.02
2      開幕       0.02
2      いい       0.016
2      早く       0.014
2      ホーム       0.014
3      川崎       0.026
3      プレス       0.017
3      F       0.01
3      ２       0.007
3      ボール       0.007
4      大分       0.023
4      初めて       0.023
4      決める       0.023
4      お互い       0.015
4      倒す       0.015
5      GK       0.018
5      急ぎ       0.011
5      過ぎ       0.011
5      ペナルティーエリア       0.011
5      パク       0.008
6      距離       0.009
6      前節       0.008
6      保つ       0.008
6      近い       0.008
6      コントロール       0.007
7      集中       0.008
7      PK       0.007
7      勇敢       0.007
7      与え       0.006
7      ジョー       0.005
8      メンバー       0.014
8      結びつき       0.013
8      バイタルエリア       0.013
8      動かさ       0.013
8      つくっ       0.01
9      家       0.013
9      作る       0.01
9      ドリブル       0.01
9      速く       0.008
9      鹿島       0.008
10      広島       0.018
10      3       0.013
10      守り       0.012
10      ディフェンス       0.009
10      鹿島       0.009
11      大阪       0.035
11      C       0.035
11      表現       0.035
11      効果       0.017
11      攻め       0.017
12      先週       0.007
12      起用       0.006
12      扇原       0.006
12      ”       0.006
12      “       0.006
13      決断       0.011
13      務め       0.009
13      数字       0.009
13      フォーメーション       0.009
13      やれる       0.009
14      みんな       0.01
14      個人       0.008
14      スタイル       0.008
14      湘南       0.008
14      同じ       0.007
15      代わっ       0.028
15      出し切っ       0.028
15      チアゴマルチンス       0.028
15      はい       0.028
15      による       0.028
16      波       0.006
16      連敗       0.006
16      臨ん       0.006
16      負け       0.006
16      だろ       0.005
17      くださる       0.006
17      スピード       0.006
17      14       0.006
17      つもり       0.006
17      なら       0.005
18      三ツ沢       0.009
18      日産       0.009
18      長い       0.009
18      スタジアム       0.007
18      鳴る       0.006
19      0       0.015
19      後       0.011
19      扇原       0.009
19      -       0.009
19      かけ       0.007
20      少ない       0.027
20      得       0.014
20      ざる       0.014
20      交代       0.013
20      １       0.011
21      ブロック       0.017
21      清水       0.017
21      しばらく       0.017
21      考える       0.017
21      続き       0.017
