Matchday#        Word     TF-IDF
1      集中       0.094
1      れ       0.063
1      陣地       0.063
1      切り替える       0.063
1      奪わ       0.063
2      落ち着い       0.085
2      リズム       0.085
2      焦ら       0.085
2      いい       0.085
2      しよ       0.063
3      連動       0.071
3      続ける       0.071
3      止め       0.071
3      まで       0.071
3      足       0.071
4      もっと       0.096
4      幅       0.064
4      やろ       0.064
4      ケア       0.064
4      背後       0.064
5      注意       0.08
5      やり       0.08
5      切り替わっ       0.08
5      タイミング       0.08
5      は       0.065
6      慌て       0.108
6      いる       0.108
6      行け       0.108
6      感       0.081
6      良い       0.081
7      判断       0.113
7      運ん       0.113
7      切り替え       0.113
7      へ       0.113
7      状況       0.113
8      あげる       0.113
8      あれ       0.113
8      ば       0.113
8      入っ       0.084
8      アグレッシブ       0.084
9      いく       0.085
9      繋い       0.071
9      パス       0.071
9      増やそ       0.071
9      短い       0.071
10      リスタート       0.085
10      き       0.085
10      早く       0.085
10      あわて       0.085
10      相手       0.069
11      きろ       0.1
11      45       0.1
11      全て       0.1
11      ワーク       0.1
11      全員       0.1
12      コンパクト       0.068
12      まわし       0.068
12      戦お       0.068
12      走り       0.068
12      陣形       0.068
13      セット       0.066
13      簡単       0.066
13      先       0.066
13      競り合い       0.066
13      与え       0.066
14      マイ       0.104
14      動かそ       0.104
14      回し       0.104
14      回収       0.104
14      セカンド       0.077
15      大事       0.1
15      お互い       0.1
15      シンプル       0.1
15      距離       0.075
15      感       0.075
