Matchday#        Word     TF-IDF
1      加入       0.012
1      選手       0.008
1      新       0.008
1      １       0.008
1      性       0.008
2      開幕       0.021
2      いい       0.016
2      歳       0.015
2      理解       0.014
2      早く       0.014
3      川崎       0.02
3      プレス       0.018
3      F       0.011
3      ボール       0.007
3      ２       0.006
4      大分       0.024
4      初めて       0.017
4      決める       0.017
4      最後       0.013
4      お互い       0.012
5      GK       0.012
5      急ぎ       0.009
5      過ぎ       0.009
5      ペナルティーエリア       0.009
5      また       0.006
6      距離       0.009
6      コントロール       0.009
6      前節       0.009
6      重要       0.007
6      保つ       0.006
7      考え       0.008
7      集中       0.007
7      PK       0.006
7      勇敢       0.006
7      与え       0.006
8      メンバー       0.012
8      つくっ       0.012
8      結びつき       0.01
8      入れ       0.01
8      バイタルエリア       0.01
9      家       0.014
9      作る       0.008
9      ドリブル       0.008
9      テンポ       0.006
9      ため       0.006
10      広島       0.015
10      3       0.014
10      守り       0.01
10      仲川       0.01
10      ディフェンス       0.007
11      大阪       0.029
11      C       0.029
11      表現       0.029
11      考え       0.016
11      効果       0.014
12      扇原       0.007
12      ”       0.007
12      “       0.007
12      起用       0.007
12      先週       0.006
