Matchday#        Word     TF-IDF
1      集中       0.083
1      れ       0.058
1      陣地       0.058
1      切り替える       0.058
1      奪わ       0.058
2      落ち着い       0.078
2      リズム       0.078
2      焦ら       0.078
2      いい       0.078
2      しよ       0.056
3      連動       0.065
3      続ける       0.065
3      止め       0.065
3      まで       0.065
3      足       0.065
4      もっと       0.085
4      幅       0.059
4      やろ       0.059
4      ケア       0.059
4      背後       0.059
5      注意       0.073
5      やり       0.073
5      切り替わっ       0.073
5      タイミング       0.073
5      は       0.065
6      慌て       0.099
6      感       0.099
6      距離       0.099
6      いる       0.099
6      行け       0.099
7      判断       0.104
7      運ん       0.104
7      切り替え       0.104
7      へ       0.104
7      状況       0.104
8      あげる       0.104
8      あれ       0.104
8      ば       0.104
8      入っ       0.075
8      動かす       0.075
9      いく       0.073
9      繋い       0.065
9      パス       0.065
9      増やそ       0.065
9      短い       0.065
10      相手       0.087
10      リスタート       0.078
10      き       0.078
10      ない       0.078
10      すばやく       0.078
11      きろ       0.092
11      45       0.092
11      全て       0.092
11      ワーク       0.092
11      全員       0.092
12      コンパクト       0.062
12      まわし       0.062
12      戦お       0.062
12      走り       0.062
12      陣形       0.062
